Visit date,Site identification,Species,Total Black oystercatcher adults
31/05/2011,14,Haematopus bachmani,6
27/05/2011,15,Haematopus bachmani,26
01/06/2011,16,Haematopus bachmani,6
01/06/2011,17,Haematopus bachmani,10
30/05/2011,18,Haematopus bachmani,6
30/05/2011,19,Haematopus bachmani,5
30/05/2011,20,Haematopus bachmani,14
30/05/2011,21,Haematopus bachmani,6
30/05/2011,22,Haematopus bachmani,12
30/05/2011,23,Haematopus bachmani,2
01/06/2011,24,Haematopus bachmani,12
04/06/2012,1,Haematopus bachmani,8
04/06/2012,2,Haematopus bachmani,2
04/06/2012,3,Haematopus bachmani,7
06/06/2012,4,Haematopus bachmani,28
05/06/2012,5,Haematopus bachmani,16
24/05/2012,6,Haematopus bachmani,2
06/06/2012,7,Haematopus bachmani,2
05/06/2012,8,Haematopus bachmani,10
04/06/2012,9,Haematopus bachmani,0
06/06/2012,10,Haematopus bachmani,4
06/06/2012,11,Haematopus bachmani,4
04/06/2012,12,Haematopus bachmani,10
05/06/2012,13,Haematopus bachmani,2
06/06/2012,14,Haematopus bachmani,2
04/06/2012,15,Haematopus bachmani,34
04/06/2012,16,Haematopus bachmani,6
04/06/2012,17,Haematopus bachmani,8
05/06/2012,18,Haematopus bachmani,8
05/06/2012,19,Haematopus bachmani,4
05/06/2012,20,Haematopus bachmani,18
05/06/2012,21,Haematopus bachmani,6
05/06/2012,22,Haematopus bachmani,12
05/06/2012,23,Haematopus bachmani,0
04/06/2012,24,Haematopus bachmani,12
05/06/2013,1,Haematopus bachmani,6
05/06/2013,2,Haematopus bachmani,2
05/06/2013,3,Haematopus bachmani,6
04/06/2013,4,Haematopus bachmani,31
04/06/2013,5,Haematopus bachmani,18
01/05/2013,6,Haematopus bachmani,2
04/06/2013,7,Haematopus bachmani,2
03/06/2013,8,Haematopus bachmani,12
05/06/2013,9,Haematopus bachmani,2
04/06/2013,10,Haematopus bachmani,5
04/06/2013,11,Haematopus bachmani,9
05/06/2013,12,Haematopus bachmani,12
04/06/2013,13,Haematopus bachmani,2
04/06/2013,14,Haematopus bachmani,4
17/05/2013,15,Haematopus bachmani,30
17/05/2013,16,Haematopus bachmani,6
05/06/2013,17,Haematopus bachmani,10
04/06/2013,18,Haematopus bachmani,6
03/06/2013,19,Haematopus bachmani,4
03/06/2013,20,Haematopus bachmani,16
03/06/2013,21,Haematopus bachmani,6
03/06/2013,22,Haematopus bachmani,12
03/06/2013,23,Haematopus bachmani,2
05/06/2013,24,Haematopus bachmani,14
09/04/2014,1,Haematopus bachmani,8
09/04/2014,2,Haematopus bachmani,2
09/04/2014,3,Haematopus bachmani,6
04/06/2014,4,Haematopus bachmani,34
02/06/2014,5,Haematopus bachmani,18
09/04/2014,6,Haematopus bachmani,4
04/06/2014,7,Haematopus bachmani,4
02/06/2014,8,Haematopus bachmani,8
21/05/2014,9,Haematopus bachmani,2
04/06/2014,10,Haematopus bachmani,2
04/06/2014,11,Haematopus bachmani,6
03/06/2014,12,Haematopus bachmani,10
02/06/2014,13,Haematopus bachmani,2
04/06/2014,14,Haematopus bachmani,4
09/04/2014,15,Haematopus bachmani,32
09/04/2014,16,Haematopus bachmani,6
21/05/2014,17,Haematopus bachmani,10
02/06/2014,18,Haematopus bachmani,6
02/06/2014,19,Haematopus bachmani,6
02/06/2014,20,Haematopus bachmani,14
02/06/2014,21,Haematopus bachmani,10
02/06/2014,23,Haematopus bachmani,2
09/04/2014,24,Haematopus bachmani,14
01/05/2015,1,Haematopus bachmani,8
01/05/2015,2,Haematopus bachmani,2
01/05/2015,3,Haematopus bachmani,6
01/06/2015,4,Haematopus bachmani,34
26/06/2015,5,Haematopus bachmani,22
01/05/2015,6,Haematopus bachmani,4
25/05/2015,7,Haematopus bachmani,6
26/06/2015,8,Haematopus bachmani,10
25/05/2015,9,Haematopus bachmani,2
01/06/2015,10,Haematopus bachmani,2
01/06/2015,11,Haematopus bachmani,4
25/05/2015,12,Haematopus bachmani,10
26/06/2015,13,Haematopus bachmani,2
01/06/2015,14,Haematopus bachmani,4
25/05/2015,15,Haematopus bachmani,28
01/05/2015,16,Haematopus bachmani,6
25/05/2015,17,Haematopus bachmani,8
26/06/2015,18,Haematopus bachmani,6
26/06/2015,19,Haematopus bachmani,5
26/06/2015,20,Haematopus bachmani,14
26/06/2015,21,Haematopus bachmani,2
26/06/2015,22,Haematopus bachmani,12
26/06/2015,23,Haematopus bachmani,4
01/05/2015,24,Haematopus bachmani,18
31/05/2016,4,Haematopus bachmani,42
01/06/2016,5,Haematopus bachmani,20
16/05/2016,6,Haematopus bachmani,4
16/05/2016,7,Haematopus bachmani,6
01/06/2016,8,Haematopus bachmani,10
26/05/2016,9,Haematopus bachmani,2
26/05/2016,12,Haematopus bachmani,10
01/06/2016,13,Haematopus bachmani,2
01/06/2016,14,Haematopus bachmani,4
16/05/2016,15,Haematopus bachmani,28
16/05/2016,16,Haematopus bachmani,8
26/05/2016,17,Haematopus bachmani,10
01/06/2016,18,Haematopus bachmani,8
01/06/2016,19,Haematopus bachmani,6
01/06/2016,20,Haematopus bachmani,12
01/06/2016,21,Haematopus bachmani,4
01/06/2016,22,Haematopus bachmani,12
01/06/2016,23,Haematopus bachmani,4
16/05/2016,24,Haematopus bachmani,14
18/05/2017,1,Haematopus bachmani,12
18/05/2017,2,Haematopus bachmani,2
18/05/2017,3,Haematopus bachmani,10
16/05/2017,4,Haematopus bachmani,42
30/05/2017,5,Haematopus bachmani,18
09/05/2017,6,Haematopus bachmani,6
16/05/2017,7,Haematopus bachmani,6
30/05/2017,8,Haematopus bachmani,10
18/05/2017,9,Haematopus bachmani,2
16/05/2017,10,Haematopus bachmani,3
16/05/2017,11,Haematopus bachmani,10
18/05/2017,12,Haematopus bachmani,10
30/05/2017,13,Haematopus bachmani,2
16/05/2017,14,Haematopus bachmani,4
06/06/2017,15,Haematopus bachmani,49
18/05/2017,16,Haematopus bachmani,6
18/05/2017,17,Haematopus bachmani,8
30/05/2017,18,Haematopus bachmani,6
30/05/2017,19,Haematopus bachmani,8
30/05/2017,20,Haematopus bachmani,14
30/05/2017,21,Haematopus bachmani,4
30/05/2017,22,Haematopus bachmani,8
30/05/2017,23,Haematopus bachmani,4
18/05/2017,24,Haematopus bachmani,24
